data_0,data_1,data_2,Points_0,Points_1,Points_2
0,0,0,0.00612563,0,0.02565
0,0,0,0.00617625,0,0.02565
0,0,0,0.00622687,0,0.02565
0,0,0,0.0062775,0,0.02565
0,0,0,0.00632813,0,0.02565
0,0,0,0.00637875,0,0.02565
0,0,0,0.00642938,0,0.02565
0,0,0,0.00648,0,0.02565
0,0,0,0.00653062,0,0.02565
0,0,0,0.00658125,0,0.02565
0,0,0,0.00663187,0,0.02565
0,0,0,0.0066825,0,0.02565
0,0,0,0.00673313,0,0.02565
0,0,0,0.00678375,0,0.02565
0,0,0,0.00683438,0,0.02565
0,0,0,0.006885,0,0.02565
0,0,0,0.00693562,0,0.02565
0,0,0,0.00698625,0,0.02565
0,0,0,0.00703688,0,0.02565
0,0,0,0.0070875,0,0.02565
0,0,0,0.00713813,0,0.02565
0,0,0,0.00718875,0,0.02565
0,0,0,0.00723937,0,0.02565
0,0,0,0.00729,0,0.02565
0,0,0,0.00734062,0,0.02565
0,0,0,0.00739125,0,0.02565
0,0,0,0.00744188,0,0.02565
0,0,0,0.0074925,0,0.02565
0,0,0,0.00754313,0,0.02565
0,0,0,0.00759375,0,0.02565
0,0,0,0.00764437,0,0.02565
0,0,0,0.007695,0,0.02565
0,0,0,0.00774562,0,0.02565
0,0,0,0.00779625,0,0.02565
0,0,0,0.00784688,0,0.02565
0,0,0,0.0078975,0,0.02565
0,0,0,0.00794812,0,0.02565
0,0,0,0.00799875,0,0.02565
0,0,0,0.00804938,0,0.02565
0,0,0,0.0081,0,0.02565
0,0,0,0.00815063,0,0.02565
0,0,0,0.00820125,0,0.02565
0,0,0,0.00825187,0,0.02565
0,0,0,0.0083025,0,0.02565
0,0,0,0.00835313,0,0.02565
0,0,0,0.00840375,0,0.02565
0,0,0,0.00845437,0,0.02565
0,0,0,0.008505,0,0.02565
0,0,0,0.00855562,0,0.02565
0,0,0,0.00860625,0,0.02565
0,0,0,0.00865688,0,0.02565
0,0,0,0.0087075,0,0.02565
0,0,0,0.00875812,0,0.02565
0,0,0,0.00880875,0,0.02565
0,0,0,0.00885938,0,0.02565
0,0,0,0.00891,0,0.02565
0,0,0,0.00896063,0,0.02565
0,0,0,0.00901125,0,0.02565
0,0,0,0.00906187,0,0.02565
0,0,0,0.0091125,0,0.02565
0,0,0,0.00916313,0,0.02565
0,0,0,0.00921375,0,0.02565
0,0,0,0.00926438,0,0.02565
0,0,0,0.009315,0,0.02565
0,0,0,0.00936562,0,0.02565
0,0,0,0.00941625,0,0.02565
0,0,0,0.00946688,0,0.02565
0,0,0,0.0095175,0,0.02565
0,0,0,0.00956813,0,0.02565
0,0,0,0.00961875,0,0.02565
0,0,0,0.00966937,0,0.02565
0,0,0,0.00972,0,0.02565
0,0,0,0.00977063,0,0.02565
0,0,0,0.00982125,0,0.02565
0,0,0,0.00987187,0,0.02565
0,0,0,0.0099225,0,0.02565
0,0,0,0.00997312,0,0.02565
0,0,0,0.0100238,0,0.02565
0,0,0,0.0100744,0,0.02565
0,0,0,0.010125,0,0.02565
0,0,0,0.0101756,0,0.02565
0,0,0,0.0102262,0,0.02565
0,0,0,0.0102769,0,0.02565
0,0,0,0.0103275,0,0.02565
0,0,0,0.0103781,0,0.02565
0,0,0,0.0104287,0,0.02565
0,0,0,0.0104794,0,0.02565
0,0,0,0.01053,0,0.02565
0,0,0,0.0105806,0,0.02565
0,0,0,0.0106313,0,0.02565
0,0,0,0.0106819,0,0.02565
0,0,0,0.0107325,0,0.02565
0,0,0,0.0107831,0,0.02565
0,0,0,0.0108338,0,0.02565
0,0,0,0.0108844,0,0.02565
0,0,0,0.010935,0,0.02565
0,0,0,0.0109856,0,0.02565
0,0,0,0.0110362,0,0.02565
0,0,0,0.0110869,0,0.02565
0,0,0,0.0111375,0,0.02565
0,0,0,0.0111881,0,0.02565
0,0,0,0.0112388,0,0.02565
0,0,0,0.0112894,0,0.02565
0,0,0,0.01134,0,0.02565
0,0,0,0.0113906,0,0.02565
0,0,0,0.0114413,0,0.02565
0,0,0,0.0114919,0,0.02565
0,0,0,0.0115425,0,0.02565
0,0,0,0.0115931,0,0.02565
0,0,0,0.0116437,0,0.02565
0,0,0,0.0116944,0,0.02565
0,0,0,0.011745,0,0.02565
0,0,0,0.0117956,0,0.02565
0,0,0,0.0118462,0,0.02565
0,0,0,0.0118969,0,0.02565
0,0,0,0.0119475,0,0.02565
0,0,0,0.0119981,0,0.02565
0,0,0,0.0120488,0,0.02565
0,0,0,0.0120994,0,0.02565
0,0,0,0.01215,0,0.02565
0,0,0,0.0122006,0,0.02565
0,0,0,0.0122513,0,0.02565
0,0,0,0.0123019,0,0.02565
0,0,0,0.0123525,0,0.02565
0,0,0,0.0124031,0,0.02565
0,0,0,0.0124537,0,0.02565
0,0,0,0.0125044,0,0.02565
0,0,0,0.012555,0,0.02565
0,0,0,0.0126056,0,0.02565
0,0,0,0.0126563,0,0.02565
0,0,0,0.0127069,0,0.02565
0,0,0,0.0127575,0,0.02565
0,0,0,0.0128081,0,0.02565
0,0,0,0.0128588,0,0.02565
0,0,0,0.0129094,0,0.02565
0,0,0,0.01296,0,0.02565
0,0,0,0.0130106,0,0.02565
0,0,0,0.0130612,0,0.02565
0,0,0,0.0131119,0,0.02565
-0.012207,-0.0366211,0.0195312,0.0131625,0,0.02565
